Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Trades,Taker Base Volume,Taker Quote Volume,Ignore
2020-02-04,9300.63,9368.00,9105.00,9198.35,147843.902,2020-02-04 23:59:59.999,1363688333.14538,282503,71776.668,662220645.49289,0
2020-02-05,9198.32,9799.08,9179.88,9630.00,212311.697,2020-02-05 23:59:59.999,2014987376.43659,387332,111557.886,1058639964.75721,0
2020-02-06,9630.00,9884.00,9550.00,9778.12,200556.367,2020-02-06 23:59:59.999,1950865328.54665,366953,98843.932,961671262.21633,0
2020-02-07,9777.97,9900.00,9736.66,9821.52,129740.767,2020-02-07 23:59:59.999,1272175090.89561,244078,63763.916,625379176.99655,0
2020-02-08,9821.52,9956.00,9680.55,9906.43,129267.269,2020-02-08 23:59:59.999,1270369231.27298,238583,65282.120,641725121.85347,0
2020-02-09,9906.09,10184.34,9892.15,10167.38,143407.013,2020-02-09 23:59:59.999,1446593331.85639,270733,72981.764,736106490.59704,0
2020-02-10,10167.37,10213.56,9750.00,9865.56,184242.737,2020-02-10 23:59:59.999,1831546625.42966,333889,89129.888,885869924.25138,0
2020-02-11,9865.56,10409.96,9729.36,10229.06,190119.815,2020-02-11 23:59:59.999,1906183204.95577,381836,98272.116,985932564.88324,0
2020-02-12,10230.74,10479.98,10229.71,10339.99,159674.258,2020-02-12 23:59:59.999,1650500848.23864,336615,80738.924,834714299.73591,0
2020-02-13,10339.64,10540.00,10101.00,10239.63,213052.717,2020-02-13 23:59:59.999,2192034973.13267,454247,101980.087,1049813429.99590,0
2020-02-14,10240.02,10390.00,10123.37,10356.82,130975.746,2020-02-14 23:59:59.999,1345001966.03801,267110,67096.628,689188914.54797,0
2020-02-15,10356.27,10389.75,9752.30,9914.99,152146.127,2020-02-15 23:59:59.999,1533600988.37217,325934,70415.864,709791351.79514,0
2020-02-16,9914.31,10060.45,9626.64,9921.86,141547.956,2020-02-16 23:59:59.999,1398906974.55862,321449,69642.561,688533908.95615,0
2020-02-17,9921.87,9971.00,9461.89,9716.00,185338.179,2020-02-17 23:59:59.999,1795989784.48734,399493,89956.126,871881279.69935,0
2020-02-18,9716.00,10270.00,9598.00,10174.32,166119.369,2020-02-18 23:59:59.999,1642320613.87592,398826,84019.968,831000734.63062,0
2020-02-19,10174.53,10286.00,9293.07,9593.65,187495.927,2020-02-19 23:59:59.999,1861820032.84195,442535,86400.201,858942080.38769,0
2020-02-20,9593.31,9700.00,9382.59,9601.99,143105.587,2020-02-20 23:59:59.999,1370467343.18510,340441,69158.410,662462607.26312,0
2020-02-21,9601.51,9759.59,9547.00,9681.39,98954.288,2020-02-21 23:59:59.999,957995037.55100,222939,49439.472,478708044.51954,0
2020-02-22,9681.39,9710.70,9565.00,9659.20,58419.547,2020-02-22 23:59:59.999,563688224.30407,137989,29109.510,280905403.94001,0
2020-02-23,9658.95,10018.90,9657.00,9943.12,97134.358,2020-02-23 23:59:59.999,959596142.38798,229104,49886.568,492833810.65496,0
2020-02-24,9943.12,10000.00,9487.38,9662.95,157965.671,2020-02-24 23:59:59.999,1535789024.65726,357670,73688.386,716559068.76857,0
2020-02-25,9662.88,9686.78,9247.00,9326.00,168641.725,2020-02-25 23:59:59.999,1596316068.55609,370353,80606.877,763338066.82431,0
2020-02-26,9326.00,9384.00,8610.00,8792.22,267005.172,2020-02-26 23:59:59.999,2409004404.57587,594555,125256.227,1130195815.13983,0
2020-02-27,8793.96,8978.00,8533.90,8828.00,200638.488,2020-02-27 23:59:59.999,1763578868.15436,447761,99331.859,873383824.34582,0
2020-02-28,8827.12,8908.86,8450.00,8699.57,196066.110,2020-02-28 23:59:59.999,1698656157.08208,479621,97577.393,845846202.83792,0
2020-02-29,8699.86,8799.83,8530.00,8531.98,103524.685,2020-02-29 23:59:59.999,898160923.81681,217411,49487.071,429493104.73495,0
2020-03-01,8532.50,8762.24,8409.00,8537.84,174332.916,2020-03-01 23:59:59.999,1494294629.10932,346326,85613.610,734002269.82985,0
2020-03-02,8537.84,8972.00,8504.95,8919.70,160294.484,2020-03-02 23:59:59.999,1405207928.76918,330286,83302.183,730389307.53473,0
2020-03-03,8919.70,8922.34,8657.41,8765.00,160123.605,2020-03-03 23:59:59.999,1406716868.87184,331015,77472.254,680849226.52919,0
2020-03-04,8765.00,8853.88,8669.23,8756.93,105462.120,2020-03-04 23:59:59.999,923600039.89969,219177,51814.453,453837266.49109,0
2020-03-05,8755.98,9172.30,8755.98,9062.81,161840.623,2020-03-05 23:59:59.999,1458350448.94803,305604,81304.772,732252544.57266,0
2020-03-06,9062.62,9179.75,8994.14,9139.48,115011.583,2020-03-06 23:59:59.999,1045435230.09336,226911,56607.201,514641871.77172,0
2020-03-07,9139.77,9204.00,8850.00,8897.18,125804.999,2020-03-07 23:59:59.999,1135455550.23333,240352,59759.072,539566671.30799,0
2020-03-08,8895.62,8897.71,7997.70,8038.46,237407.028,2020-03-08 23:59:59.999,2003492668.69928,443337,109247.103,922054657.55872,0
2020-03-09,8038.99,8182.31,7635.21,7932.15,334399.107,2020-03-09 23:59:59.999,2627368283.37935,630254,165620.727,1301613335.96885,0
2020-03-10,7932.45,8156.31,7733.00,7897.66,257068.702,2020-03-10 23:59:59.999,2044527824.74198,480453,127445.512,1013900855.45328,0
2020-03-11,7898.21,7988.00,7593.29,7938.39,220537.381,2020-03-11 23:59:59.999,1724800753.69309,401429,109589.744,857478719.09663,0
2020-03-12,7938.39,7969.00,4347.00,4764.65,784747.020,2020-03-12 23:59:59.999,4935684191.16036,1559176,376597.666,2360894110.20358,0
2020-03-13,4762.28,5971.00,3621.81,5570.26,935489.242,2020-03-13 23:59:59.999,4777193239.09059,2491958,465297.838,2382258317.76056,0
2020-03-14,5569.84,5638.42,5040.00,5167.01,316242.586,2020-03-14 23:59:59.999,1697439879.44057,778184,157435.123,845705102.98525,0
2020-03-15,5167.21,5954.47,5089.12,5357.32,356311.765,2020-03-15 23:59:59.999,1916062699.25133,806813,184750.035,993937103.50990,0
2020-03-16,5354.81,5361.26,4413.62,5026.26,621555.792,2020-03-16 23:59:59.999,3043134893.44952,1445469,318949.688,1562954333.84351,0
2020-03-17,5027.11,5529.98,4913.49,5307.38,429908.098,2020-03-17 23:59:59.999,2271134947.39557,1054231,232442.760,1228638059.36448,0
2020-03-18,5306.42,5435.00,4982.75,5389.64,402005.703,2020-03-18 23:59:59.999,2108477121.16380,915737,211992.384,1112844886.81779,0
2020-03-19,5389.94,6400.00,5246.50,6159.60,499391.190,2020-03-19 23:59:59.999,2922169778.65964,1105378,265398.098,1552134878.49786,0
2020-03-20,6159.41,6911.00,5650.00,6203.77,571898.016,2020-03-20 23:59:59.999,3643186059.94639,1274738,293613.556,1872418332.76583,0
