Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Trades,Taker Base Volume,Taker Quote Volume,Ignore
2020-01-01 00:00:00,7189.43,7239.74,7170.15,7221.65,12055.759,2020-01-01 03:59:59.999,86901102.71235,19586,6356.286,45824354.14661,0
2020-01-01 04:00:00,7221.80,7230,7193.52,7205.26,5738.351,2020-01-01 07:59:59.999,41410695.20475,10298,2855.460,20607525.79974,0
2020-01-01 08:00:00,7205.26,7234.57,7174,7192.65,10036.293,2020-01-01 11:59:59.999,72239496.19382,23427,4823.628,34726212.44241,0
2020-01-01 12:00:00,7192.74,7260.43,7191.79,7229.49,11010.528,2020-01-01 15:59:59.999,79516571.28020,19184,5956.600,43019322.18208,0
2020-01-01 16:00:00,7229.66,7248,7210.81,7226.35,7787.862,2020-01-01 19:59:59.999,56314518.89126,12655,4104.195,29678748.99387,0
2020-01-01 20:00:00,7226.56,7242,7174,7197.57,10172.536,2020-01-01 23:59:59.999,73296376.28719,16721,4738.031,34145806.28124,0
2020-01-02 00:00:00,7197.57,7209.59,7121,7127.29,13363.900,2020-01-02 03:59:59.999,95732124.80604,25258,5770.093,41343351.71568,0
2020-01-02 04:00:00,7126.94,7159.30,7101.00,7107.56,15610.361,2020-01-02 07:59:59.999,111293304.63174,34667,7515.112,53588253.40475,0
2020-01-02 08:00:00,7107.53,7175.00,7106.75,7136.24,15351.811,2020-01-02 11:59:59.999,109742926.40608,39733,8306.560,59371712.81806,0
2020-01-02 12:00:00,7136.36,7160.00,7103.00,7126.25,16636.556,2020-01-02 15:59:59.999,118613594.63304,28932,7924.935,56511126.63330,0
2020-01-02 16:00:00,7126.25,7143.29,6922.00,6979.44,43801.316,2020-01-02 19:59:59.999,306934649.25796,78081,20451.546,143256049.42775,0
2020-01-02 20:00:00,6979.45,6982.83,6938.36,6962.04,10531.733,2020-01-02 23:59:59.999,73311231.34852,18076,5436.016,37841183.42623,0
2020-01-03 00:00:00,6962.34,6962.80,6863.44,6947.35,23421.061,2020-01-03 03:59:59.999,162143106.50816,41896,11167.329,77327835.60938,0
2020-01-03 04:00:00,6947.44,7300.00,6945.84,7198.02,52550.895,2020-01-03 07:59:59.999,376020136.60808,106887,28523.645,203909167.68757,0
2020-01-03 08:00:00,7198.02,7368.33,7198.00,7338.11,44019.993,2020-01-03 11:59:59.999,321331676.22131,84786,22717.362,165804176.61391,0
2020-01-03 12:00:00,7338.40,7379.00,7229.00,7316.01,29634.459,2020-01-03 15:59:59.999,216224843.79350,59087,15099.674,110209414.99940,0
2020-01-03 16:00:00,7315.36,7407.28,7276.35,7338.90,37060.384,2020-01-03 19:59:59.999,272311902.66989,77863,18875.169,138721892.35281,0
2020-01-03 20:00:00,7338.91,7359.00,7255.84,7341.72,21806.666,2020-01-03 23:59:59.999,159281947.62858,39301,11102.786,81084320.51482,0
2020-01-04 00:00:00,7341.60,7347.02,7279.00,7329.29,11043.555,2020-01-04 03:59:59.999,80740849.43788,22452,5174.903,37832637.80330,0
2020-01-04 04:00:00,7329.40,7368.47,7310.00,7344.13,13403.937,2020-01-04 07:59:59.999,98396191.78339,22551,6639.173,48735813.17445,0
2020-01-04 08:00:00,7344.11,7366.00,7295.20,7333.07,14214.085,2020-01-04 11:59:59.999,104254408.82034,26776,6965.777,51097931.76861,0
2020-01-04 12:00:00,7333.07,7333.54,7286.16,7315.45,12785.519,2020-01-04 15:59:59.999,93473102.84215,24844,6272.687,45857717.02389,0
2020-01-04 16:00:00,7315.94,7400.00,7269.21,7331.35,30435.423,2020-01-04 19:59:59.999,222954820.20555,66317,15565.740,114081657.92635,0
2020-01-04 20:00:00,7331.87,7362.87,7307.00,7350.71,10703.514,2020-01-04 23:59:59.999,78582990.64820,23409,5520.810,40533881.74403,0
2020-01-05 00:00:00,7350.54,7488.00,7350.54,7475.15,34313.211,2020-01-05 03:59:59.999,254990205.80858,72392,19259.637,143121297.74078,0
2020-01-05 04:00:00,7475.19,7495.00,7440.00,7462.98,14041.039,2020-01-05 07:59:59.999,104731057.24217,29037,7000.426,52216601.93666,0
2020-01-05 08:00:00,7463.42,7470.00,7385.76,7422.48,17007.021,2020-01-05 11:59:59.999,126280363.42653,33280,7944.247,58989155.39732,0
2020-01-05 12:00:00,7422.48,7474.21,7414.13,7463.59,15904.588,2020-01-05 15:59:59.999,118365676.18046,33740,7875.187,58610564.82036,0
2020-01-05 16:00:00,7463.76,7478.00,7420.00,7441.83,14317.588,2020-01-05 19:59:59.999,106672552.00812,26208,6883.856,51288120.82047,0
2020-01-05 20:00:00,7441.90,7441.90,7303.00,7354.36,22182.525,2020-01-05 23:59:59.999,163448666.71510,44248,9484.190,69894464.74419,0
2020-01-06 00:00:00,7354.36,7580.08,7345.00,7538.65,42104.905,2020-01-06 03:59:59.999,314849841.15522,85053,22327.193,166978620.40084,0
2020-01-06 04:00:00,7538.66,7550.45,7491.59,7505.35,15005.412,2020-01-06 07:59:59.999,112853035.90040,26759,7341.042,55212012.33830,0
2020-01-06 08:00:00,7505.36,7576.00,7505.35,7540.00,20884.833,2020-01-06 11:59:59.999,157497517.57411,35805,10152.857,76567176.20030,0
2020-01-06 12:00:00,7539.99,7611.81,7481.74,7515.92,27521.187,2020-01-06 15:59:59.999,207506926.48702,54109,13261.529,100022314.20564,0
2020-01-06 16:00:00,7516.03,7558.75,7507.00,7537.89,13584.214,2020-01-06 19:59:59.999,102369749.12888,22277,6747.071,50848121.92045,0
2020-01-06 20:00:00,7536.72,7808.65,7533.00,7757.39,49049.766,2020-01-06 23:59:59.999,377126707.05799,99622,26201.720,201449638.17965,0
2020-01-07 00:00:00,7757.74,8014.91,7757.00,7898.59,61674.438,2020-01-07 03:59:59.999,487317062.19561,114701,31493.136,248867319.73879,0
2020-01-07 04:00:00,7899.00,7908.95,7826.18,7886.66,21354.686,2020-01-07 07:59:59.999,168049045.23829,32479,10454.357,82274178.50895,0
2020-01-07 08:00:00,7886.95,7969.00,7860.00,7899.86,23334.683,2020-01-07 11:59:59.999,184469898.64424,40076,11641.132,92038526.15877,0
2020-01-07 12:00:00,7898.90,7918.19,7746.00,7769.11,40818.309,2020-01-07 15:59:59.999,320124329.61813,78046,19500.208,152970822.41758,0
2020-01-07 16:00:00,7769.73,8133.00,7733.00,8077.71,72464.068,2020-01-07 19:59:59.999,578191561.15809,141246,37436.773,298740770.55565,0
2020-01-07 20:00:00,8077.71,8215.33,7952.00,8152.49,61162.978,2020-01-07 23:59:59.999,495220170.24569,119854,30178.312,244463842.39096,0
2020-01-08 00:00:00,8150.90,8468.42,8144.02,8302.62,88963.033,2020-01-08 03:59:59.999,741656490.46542,176453,44801.021,373389765.25465,0
2020-01-08 04:00:00,8302.97,8381.87,8280.00,8301.47,24655.450,2020-01-08 07:59:59.999,205437231.81976,46348,11811.294,98420584.28259,0
2020-01-08 08:00:00,8301.50,8379.51,8267.00,8335.28,24056.520,2020-01-08 11:59:59.999,200249045.87758,43558,12321.377,102578937.39721,0
2020-01-08 12:00:00,8335.28,8427.97,8201.10,8306.39,64041.926,2020-01-08 15:59:59.999,532377864.32861,140339,30499.973,253648644.05487,0
2020-01-08 16:00:00,8308.23,8340.86,7964.41,7965.05,74773.652,2020-01-08 19:59:59.999,607030989.67020,152037,35505.365,288342179.29872,0
2020-01-08 20:00:00,7966.97,8129.00,7870.11,8059.84,44734.533,2020-01-08 23:59:59.999,358031213.63127,92236,22321.423,178667476.83514,0
2020-01-09 00:00:00,8059.77,8060.00,7932.00,7957.38,26658.967,2020-01-09 03:59:59.999,212845120.68396,49625,12893.988,102946184.34260,0
2020-01-09 04:00:00,7958.00,7980.73,7898.00,7953.76,22050.001,2020-01-09 07:59:59.999,175167830.59383,41721,10878.064,86428081.32376,0
2020-01-09 08:00:00,7953.99,7960.00,7851.91,7881.53,30415.775,2020-01-09 11:59:59.999,240212368.34874,50842,14443.526,114080303.45992,0
2020-01-09 12:00:00,7881.52,7948.11,7874.23,7909.39,23619.757,2020-01-09 15:59:59.999,186796220.98394,40717,11584.776,91623519.47912,0
2020-01-09 16:00:00,7909.81,7963.00,7776.00,7921.34,39522.490,2020-01-09 19:59:59.999,310097410.76035,80682,19779.947,155263858.13399,0
2020-01-09 20:00:00,7921.60,8006.83,7750.01,7818.59,44996.153,2020-01-09 23:59:59.999,353472394.65276,98833,21845.758,171637544.35114,0
2020-01-10 00:00:00,7817.91,7855.00,7767.22,7818.53,16038.321,2020-01-10 03:59:59.999,125347988.02000,29837,7717.886,60322725.51745,0
2020-01-10 04:00:00,7818.30,7818.30,7718.05,7752.37,22039.693,2020-01-10 07:59:59.999,171018805.06490,43818,10475.892,81293230.11714,0
2020-01-10 08:00:00,7752.31,7854.32,7670.00,7841.02,44376.606,2020-01-10 11:59:59.999,344443523.64059,94465,22552.287,175094173.95341,0
2020-01-10 12:00:00,7841.00,8088.00,7808.32,8066.68,58861.170,2020-01-10 15:59:59.999,467703383.45748,138946,31202.422,247936161.62469,0
2020-01-10 16:00:00,8068.26,8145.41,7912.95,8064.34,75750.194,2020-01-10 19:59:59.999,608163594.03936,159802,37902.566,304279760.73034,0
2020-01-10 20:00:00,8062.68,8210.62,7985.38,8207.09,36717.964,2020-01-10 23:59:59.999,297061555.69854,75186,19522.409,158017457.91614,0
2020-01-11 00:00:00,8207.20,8261.33,8131.93,8165.85,31173.411,2020-01-11 03:59:59.999,255382469.32368,62741,15137.028,124018082.97110,0
2020-01-11 04:00:00,8165.29,8187.00,8048.00,8079.53,26143.671,2020-01-11 07:59:59.999,211918783.82965,57705,12791.303,103659957.62982,0
2020-01-11 08:00:00,8079.17,8135.26,8012.29,8049.81,25190.553,2020-01-11 11:59:59.999,203378962.79466,54352,12645.842,102100560.05511,0
2020-01-11 12:00:00,8049.26,8120.06,8020.00,8101.69,20293.496,2020-01-11 15:59:59.999,163903542.29521,41963,9918.416,80124748.78125,0
2020-01-11 16:00:00,8101.69,8219.38,8070.56,8153.90,25922.665,2020-01-11 19:59:59.999,211472452.32870,53560,13393.843,109276261.24836,0
2020-01-11 20:00:00,8153.37,8292.19,8003.87,8020.56,36017.919,2020-01-11 23:59:59.999,292524843.39360,84369,17358.497,141088967.39024,0
2020-01-12 00:00:00,8020.58,8119.24,7956.28,8092.10,21734.113,2020-01-12 03:59:59.999,174884373.09512,46947,10933.509,87992979.33609,0
2020-01-12 04:00:00,8092.09,8155.00,8072.00,8097.55,12366.872,2020-01-12 07:59:59.999,100272254.53016,27153,5944.481,48205417.50609,0
2020-01-12 08:00:00,8099.33,8166.72,8088.30,8117.73,14683.220,2020-01-12 11:59:59.999,119335901.77242,32943,7681.858,62432944.02872,0
2020-01-12 12:00:00,8117.70,8186.00,8117.20,8154.42,16442.389,2020-01-12 15:59:59.999,134003618.43183,42044,8037.808,65510431.22262,0
2020-01-12 16:00:00,8154.35,8195.00,8070.13,8132.00,29876.527,2020-01-12 19:59:59.999,242743818.66035,66168,14898.434,121033942.47457,0
2020-01-12 20:00:00,8131.99,8189.00,8088.82,8186.70,13526.843,2020-01-12 23:59:59.999,110188089.19773,28035,7162.646,58367307.27663,0
2020-01-13 00:00:00,8186.22,8200.00,8090.00,8108.23,13560.775,2020-01-13 03:59:59.999,110386115.32498,31377,6444.634,52482713.06353,0
